id,x,y,z,hit,net,bounce,time,shotId
1065247,0.022,2.135,1.105,0,1,0,1.279,385982
1065248,3.802,-1.967,0.037,0,0,1,3.994,385981
1065249,-5.195,3.502,0.037,0,0,1,1.421,385982
1065250,7.055,-3.842,0.397,1,0,0,4.585,385983
1065251,-11.172,5.009,1.210,1,0,0,1.665,385984
1065252,0.000,-3.404,2.099,0,1,0,5.391,385983
1065253,-0.002,2.705,2.381,0,1,0,2.184,385984
1065254,-4.020,-3.349,0.037,0,0,1,5.930,385983
1065255,10.789,0.819,0.037,0,0,1,2.831,385984
1065256,-5.062,-4.080,0.697,1,0,0,6.717,385985
1065257,14.166,0.105,1.342,1,0,0,3.258,385986
1065258,0.009,-1.929,1.125,0,1,0,3.706,385986
1065259,7.209,-3.291,1.051,1,0,0,7.493,385987
1065260,-5.336,-2.688,0.037,0,0,1,3.920,385986
1065261,-3.199,-1.160,2.779,1,0,0,8.349,385988
1065262,-13.175,-3.865,1.163,1,0,0,4.451,385989
1065263,-0.011,-0.585,1.829,0,1,0,8.429,385988
1065264,-0.013,-3.771,1.765,0,1,0,4.860,385989
1065265,5.358,0.440,0.037,0,0,1,8.577,385988
1065266,9.967,-3.688,0.037,0,0,1,5.269,385989
1065267,-11.388,-0.764,2.870,1,0,0,0.917,385990
1065268,-0.001,2.150,1.431,0,1,0,1.186,385990
1065269,6.913,4.253,0.037,0,0,1,1.387,385990
1065270,11.379,0.852,2.699,1,0,0,1.061,385991
1065271,0.022,-0.396,1.363,0,1,0,1.306,385991
1065272,-7.039,-1.431,0.037,0,0,1,1.492,385991
1065273,11.389,0.628,2.644,1,0,0,0.795,385992
1065274,0.002,0.056,1.017,0,1,0,1.103,385992
1065275,-3.910,-0.309,0.037,0,0,1,1.230,385992
1065276,-10.665,-0.691,1.566,1,0,0,1.583,385993
1065277,-0.002,0.733,1.226,0,1,0,1.973,385993
1065278,6.517,1.777,0.037,0,0,1,2.265,385993
1065279,11.738,2.682,0.800,1,0,0,2.642,385994
1065280,0.006,-1.527,1.203,0,1,0,3.150,385994
1065281,-4.905,-3.285,0.037,0,0,1,3.414,385994
1065282,-10.340,-5.177,1.111,1,0,0,3.859,385995
1065283,-0.015,-1.129,1.168,0,1,0,4.162,385995
1065284,7.853,2.072,0.037,0,0,1,4.455,385995
1065285,12.957,4.270,0.801,1,0,0,4.756,385996
1065286,-11.384,1.201,2.880,1,0,0,0.889,385997
1065287,-0.010,-1.922,1.372,0,1,0,1.129,385997
1065288,7.557,-3.808,0.037,0,0,1,1.320,385997
1065289,11.390,0.696,2.827,1,0,0,0.725,385998
1065290,0.002,0.044,1.191,0,1,0,0.953,385998
1065291,-6.190,-0.387,0.037,0,0,1,1.102,385998
1065292,-12.810,-0.938,1.026,1,0,0,1.338,385999
1065293,0.004,0.148,8.829,0,1,0,2.392,385999
1065294,17.334,1.580,0.037,0,0,1,4.047,385999
1065295,11.396,0.816,2.719,1,0,0,1.182,386000
1065296,0.005,-0.393,1.169,0,1,0,1.415,386000
