id,playerName,playerNumber,speed,shotType,spin,spinRpm,pointId,isServe,distance,result
389736,DJOKOVIC,ATPD643,67.44,BACKHAND,TOPSPIN,2785.16,112916,0,NULL,NULL
389737,FEDERER,ATPF324,52.47,BACKHAND,TOPSPIN,1708.78,112916,0,NULL,NULL
389738,DJOKOVIC,ATPD643,81.11,BACKHAND,TOPSPIN,1642.96,112916,0,NULL,NULL
389739,DJOKOVIC,ATPD643,113.06,NOT LOGGED,NOSPIN,0.00,112917,1,NULL,NULL
389740,FEDERER,ATPF324,61.77,FOREHAND,TOPSPIN,959.78,112917,0,NULL,NULL
389741,DJOKOVIC,ATPD643,116.74,NOT LOGGED,NOSPIN,0.00,112918,1,NULL,NULL
389742,DJOKOVIC,ATPD643,70.45,BACKHAND,TOPSPIN,1770.66,112917,0,NULL,NULL
389743,FEDERER,ATPF324,100.67,NOT LOGGED,TOPSPIN,1013.09,112918,0,NULL,NULL
389744,FEDERER,ATPF324,49.62,BACKHAND,BACKSPIN,3406.21,112917,0,NULL,NULL
389745,DJOKOVIC,ATPD643,81.41,FOREHAND,TOPSPIN,3665.56,112917,0,NULL,NULL
389746,FEDERER,ATPF324,84.25,FOREHAND,TOPSPIN,2494.48,112917,0,NULL,NULL
389747,DJOKOVIC,ATPD643,85.72,FOREHAND,TOPSPIN,2796.04,112917,0,NULL,NULL
389748,FEDERER,ATPF324,61.87,FOREHAND,NOSPIN,0.00,112917,0,NULL,NULL
389749,DJOKOVIC,ATPD643,115.11,NOT LOGGED,NOSPIN,0.00,112919,1,NULL,NULL
389750,FEDERER,ATPF324,49.78,BACKHAND,BACKSPIN,2410.02,112919,0,NULL,NULL
389751,DJOKOVIC,ATPD643,69.59,BACKHAND,TOPSPIN,2122.04,112919,0,NULL,NULL
389752,DJOKOVIC,ATPD643,99.95,NOT LOGGED,NOSPIN,0.00,112920,1,NULL,NULL
389753,FEDERER,ATPF324,52.21,BACKHAND,BACKSPIN,3323.21,112919,0,NULL,NULL
389754,FEDERER,ATPF324,74.24,FOREHAND,TOPSPIN,1293.87,112920,0,NULL,NULL
389755,DJOKOVIC,ATPD643,79.57,FOREHAND,TOPSPIN,3523.95,112919,0,NULL,NULL
389756,DJOKOVIC,ATPD643,62.05,FOREHAND,TOPSPIN,2541.31,112920,0,NULL,NULL
389757,FEDERER,ATPF324,82.34,FOREHAND,TOPSPIN,2889.32,112919,0,NULL,NULL
389758,FEDERER,ATPF324,67.39,BACKHAND,TOPSPIN,2910.88,112920,0,NULL,NULL
389759,DJOKOVIC,ATPD643,105.51,NOT LOGGED,NOSPIN,0.00,112921,1,NULL,NULL
389760,DJOKOVIC,ATPD643,72.89,FOREHAND,TOPSPIN,2362.99,112919,0,NULL,NULL
389761,DJOKOVIC,ATPD643,78.10,FOREHAND,TOPSPIN,3403.12,112920,0,NULL,NULL
389762,FEDERER,ATPF324,48.35,BACKHAND,BACKSPIN,2253.21,112921,0,NULL,NULL
389763,FEDERER,ATPF324,53.78,BACKHAND,BACKSPIN,3784.67,112919,0,NULL,NULL
389764,FEDERER,ATPF324,72.26,FOREHAND,TOPSPIN,3136.15,112920,0,NULL,NULL
389765,DJOKOVIC,ATPD643,79.90,FOREHAND,TOPSPIN,3698.44,112921,0,NULL,NULL
389766,DJOKOVIC,ATPD643,60.33,FOREHAND,TOPSPIN,2783.11,112920,0,NULL,NULL
389767,DJOKOVIC,ATPD643,70.05,BACKHAND,TOPSPIN,2711.06,112919,0,NULL,NULL
389768,FEDERER,ATPF324,66.35,FOREHAND,TOPSPIN,3218.62,112921,0,NULL,NULL
389769,FEDERER,ATPF324,84.32,BACKHAND,TOPSPIN,2379.88,112920,0,NULL,NULL
389770,FEDERER,ATPF324,51.17,BACKHAND,BACKSPIN,3122.87,112919,0,NULL,NULL
389771,DJOKOVIC,ATPD643,71.90,BACKHAND,TOPSPIN,1485.71,112921,0,NULL,NULL
389772,DJOKOVIC,ATPD643,52.10,FOREHAND,BACKSPIN,2033.53,112920,0,NULL,NULL
389773,DJOKOVIC,ATPD643,77.82,FOREHAND,TOPSPIN,3359.29,112919,0,NULL,NULL
389774,FEDERER,ATPF324,81.94,FOREHAND,TOPSPIN,3625.11,112920,0,NULL,NULL
389775,FEDERER,ATPF324,61.85,BACKHAND,TOPSPIN,2143.56,112919,0,NULL,NULL
389776,DJOKOVIC,ATPD643,50.62,BACKHAND,NOSPIN,0.00,112920,0,NULL,NULL
389777,DJOKOVIC,ATPD643,79.74,BACKHAND,TOPSPIN,1763.74,112919,0,NULL,NULL
389778,FEDERER,ATPF324,93.04,FOREHAND,NOSPIN,0.00,112920,0,NULL,NULL
